sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
2838335,16,4363322,0,4204434,416,53999913,0,13329117,56
2847132,16,4437172,0,8022962,416,17653887,0,12835069,56
2832004,16,4352072,0,3975684,416,9666753,0,13653507,56
2832304,16,4370946,0,7956868,416,11519095,0,15024524,56
2835039,16,4368723,0,3884402,416,12419517,0,13689224,56
2836102,16,4409299,0,8128160,416,12569329,0,13106348,56
2846201,16,4364916,0,4199976,416,12898618,0,15401943,56
2825983,16,4368011,0,8152174,416,13007172,0,13480782,56
2841792,16,4368623,0,4117170,416,9316514,0,13029203,56
2838105,16,4583837,0,7659609,416,13521549,0,12862851,56
2832304,16,4381767,0,10100408,416,16118722,0,12645492,56
2846511,16,4426962,0,4758665,416,13247293,0,12796276,56
2839658,16,4467839,0,10192751,416,9054221,0,12789282,56
2838436,16,4396464,0,4362471,416,12010608,0,12797748,56
2834318,16,4369745,0,3810644,416,12454453,0,12646384,56
2833336,16,4364285,0,8768404,416,10687711,0,12804101,56
2835510,16,4425088,0,7980191,416,9105056,0,12867249,56
2841361,16,4368282,0,9188233,416,10370906,0,12840870,56
2841271,16,4372961,0,6962910,416,8115126,0,12869433,56
2843465,16,4365697,0,9552567,416,11839166,0,13125966,56
2829099,16,4432362,0,5708751,416,12481463,0,13022030,56
2835711,16,4364154,0,10518373,416,16561945,0,13013203,56
2844737,16,4357862,0,10642257,416,13365916,0,12777821,56
3527582,16,4361900,0,10647285,416,12959883,0,13800674,56
3706769,16,4431901,0,9733598,416,11781658,0,15334938,56
4411533,16,4360658,0,9229701,416,13022802,0,14415520,56
4430469,16,4357472,0,9582384,416,8269596,0,13844566,56
3437332,16,4369464,0,9356088,416,10277560,0,13075120,56
2871348,16,4417894,0,9363913,416,11865325,0,13187952,56
2831503,16,4356860,0,7221506,416,12068337,0,13058809,56
2833427,16,4362461,0,8559811,416,11849996,0,13441458,56
2838717,16,4539584,0,4135635,416,11541125,0,13248195,56
2831963,16,4408717,0,8981344,416,11085911,0,13246772,56
2844978,16,4354526,0,9375846,416,13294192,0,12684265,56
2867621,16,4349646,0,9563358,416,11434586,0,13071904,56
2903308,16,4408968,0,9355387,416,10866778,0,13884441,56
3591361,16,4360157,0,9410851,416,9764736,,13152024,56
4425679,16,4356109,0,9680007,416,11484320,,13642405,56
3548100,16,4356039,0,9600097,416,11298450,,12660180,56
2870727,16,4389943,0,9765468,416,11316574,,13308599,56
2868863,16,4356680,0,4112541,416,13099616,,13068026,56
2835730,16,4361449,0,8774946,416,10748706,,13235261,56
2832615,16,4361870,0,4451097,416,9242193,,12654809,56
2837274,16,4490281,0,4483038,416,10639802,,13216847,56
2838606,16,4368091,0,9374172,416,8658828,,13039763,56
5776058,16,4437001,0,4767662,416,11548389,,13490621,56
2838045,16,4638920,0,8012723,416,8966467,,13091050,56
2837855,16,4504308,0,4104356,416,11011801,,13261110,56
2830501,16,4386686,0,8041917,416,9264726,,13155992,56
2839538,16,4367701,0,4263956,416,12405651,,14085129,56
2866919,16,4463621,0,8498035,416,13059700,,13502613,56
2829389,16,4370807,0,4247995,416,11076162,,13132067,56
2843376,16,4353905,0,3706559,416,11798109,,13129292,56
2836653,16,4360217,0,8119303,416,11523193,,13075541,56
2836272,16,4441630,0,3897787,416,13203962,,13207468,56
2825883,16,4382459,0,8393920,416,12418285,,13206236,56
2859826,16,4370787,0,3949595,416,8092263,,13135563,56
2836903,16,4351862,0,8146555,416,12346900,,12690106,56
2840350,16,4406924,0,8219662,416,8053630,,13157735,56
2834979,16,4369774,0,4447842,416,8228739,,13228298,56
2841361,16,4368232,0,3865718,416,8184656,,13569779,56
2825902,16,4349207,0,3631757,416,8982366,,13098033,56
2851280,16,4369404,0,8079619,416,10071814,,12860887,56
2847894,16,4355808,0,3992615,416,8044993,,13077324,56
2836803,16,4366699,0,3691079,416,9015728,,13144129,56
2829288,16,4364945,0,8213541,416,8878801,,13119883,56
