sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
5008424,16,5657952,416,7084567,0,155494388,0,26864967,56
5100987,16,5438570,416,7093304,0,15341614,0,25889677,56
5049500,16,5716141,416,7100798,0,14471152,0,27877516,56
4963639,16,5675314,416,7123320,0,14933068,0,25590677,56
5089355,16,5547735,416,7906389,0,14802142,0,28329954,56
4997863,16,5655838,416,8257307,0,17982928,0,28578981,56
4973709,16,5690854,416,8212974,0,17901234,0,26492959,56
4968819,16,5613759,416,8212533,0,16249827,0,23209651,56
4967888,16,5757338,416,8208796,0,14510265,0,28290761,56
4962847,16,5630761,416,8263579,0,18380093,0,26706319,56
4951236,16,5572442,416,8247769,0,18717315,0,25195035,56
4961114,16,5791222,416,8272115,0,19024711,0,22260752,56
4959822,16,5440023,416,8149054,0,16540613,0,21665215,56
4960523,16,5587961,416,8172007,0,15502085,0,21406860,56
4967658,16,6150886,416,8148533,0,17337938,0,20963167,56
4954472,16,5788046,416,8143623,0,16085910,0,20804149,56
4974641,16,5738193,416,8094121,0,15383222,0,21389628,56
4996882,16,5603750,416,8121963,0,14008083,0,21078083,56
5142845,16,5444752,416,9150442,0,15566306,0,20717026,56
5039301,16,5664143,416,8118607,0,16552726,0,20865635,56
5002372,16,5661149,416,8230847,0,17757966,0,20877257,56
5084006,16,5484196,416,8460488,0,15370287,0,21373858,56
5010587,16,5627915,416,8124207,0,17712781,0,20784853,56
4963019,16,5757629,416,8105513,0,17487097,0,21251789,56
5017871,16,5663693,416,8331846,0,17431895,0,21094674,56
5077504,16,5442788,416,8088440,0,17249963,0,20977565,56
5025145,16,5650107,416,8005955,0,13003318,0,22556155,56
4974690,16,5456624,416,7995967,0,17569953,0,21297896,56
5082984,16,5813825,416,7989254,0,16662642,0,21544027,56
4981082,16,5606255,416,7997099,0,14725068,0,21715349,56
5023121,16,5985947,416,7990206,0,18355486,0,21630389,56
5072614,16,5734285,416,7964238,0,17454176,0,21245257,56
4968399,16,5383276,416,7929763,0,17921262,0,21587158,56
4959201,16,5644968,416,7941785,0,13882738,0,23885018,56
5017451,16,5639197,416,7975097,0,17686372,0,21009374,56
5032328,16,5788617,416,8000826,0,13687381,0,22536448,56
4974030,16,5526385,416,7909976,0,17117445,0,21111496,56
4979809,16,5610613,416,7901480,0,16647123,0,20658597,56
5061823,16,5801681,416,7884468,0,18174818,0,20943841,56
4959051,16,5530733,416,7888234,0,18113512,0,20626046,56
4961956,16,5618528,416,7882273,0,17393973,0,21988561,56
5078164,16,5630420,416,7918892,0,17454817,0,20598163,56
4966976,16,5747730,416,7843090,0,17238382,0,20591751,56
4955714,16,5699310,416,7824496,0,13375105,0,20664597,56
5024744,16,5427780,416,7869099,0,19481479,0,20626516,56
5059019,16,5601336,416,7858679,0,17444878,0,21811559,56
4957498,16,6090944,416,7896671,0,16181118,0,24026563,56
4960824,16,6079903,416,7771416,0,16232706,0,23843209,56
5019725,16,5479697,416,7922970,0,16966902,0,21052144,56
4982655,16,5774711,416,7783118,0,17359168,0,22101362,56
4981332,16,5733694,416,7803416,0,16487744,0,21759742,56
5012221,16,5643525,416,7927118,0,15218523,0,22346432,56
5037558,16,5619489,416,7592380,0,16739596,0,21769750,56
4976885,16,5596537,416,7412813,0,18161713,0,22214384,56
4990460,16,5934912,416,7781646,0,17364738,0,21290121,56
5016969,16,5496029,416,7970068,0,15585421,0,20570702,56
5014706,16,5882153,416,7961452,0,17048295,0,20618741,56
4990650,16,5706333,416,7927328,0,17193918,0,21806849,56
4998916,16,5422410,416,8016595,0,16892873,0,21486339,56
4967837,16,5542736,416,7951223,0,13951176,0,21219688,56
4962949,16,5610482,416,7925094,0,17173931,0,20550223,56
5038079,16,5788296,416,8084754,0,11943200,0,20871295,56
4956587,16,5826347,416,7898053,0,16855813,0,20956805,56
4957157,16,5515585,416,7990316,0,16027261,0,21047596,56
5034472,16,5759182,416,7984135,0,14126805,0,21045261,56
5035915,16,5595054,416,8422097,0,17754690,0,20611488,56
5014956,16,5665787,416,8259601,0,16580578,0,20517883,56
4985951,16,5893183,416,7953808,0,17114889,0,20821813,56
5062034,16,5631562,416,7932638,0,16920425,0,22308661,56
5003284,16,5467605,416,7939070,0,17103157,0,20566924,56
4956035,16,5563384,416,7910326,0,17234564,0,20638538,56
5056644,16,5467545,416,7938199,0,17099381,0,20647806,56
5001200,16,5633275,416,8098018,0,17898249,0,20639230,56
4977366,16,5565018,416,7957705,0,14814085,0,21267087,56
5028482,16,5540792,416,8012588,0,15378082,,20691057,56
5017571,16,5672008,416,7729487,0,16735679,,20622489,56
